driver_name,ranking,accuracy,activity,wins
Cole Powelson,100,low,inactive,1
Jarrod Barlow,100,high,active,1
Vaughn Micciche,100,high,active,1
Alec Stilwell,100,low,active,1
Bill Martin,100,low,stale,0
Shawn Roberts,100,high,active,7
Eli Drennan,100,low,active,1
Timothy Thompson,100,high,active,6
Brad Legris,100,high,inactive,1
Zachary Schmaedeke,100,low,active,1
Evan Williams,100,high,active,2
Eric Less,99,high,active,1
Jeff Denmeade,99,high,inactive,0
Sean Grogan,99,high,inactive,2
Todd Briley,98,high,active,3
Scott Banes,98,high,inactive,0
Todd Kean,98,high,inactive,0
Aaron Miller,97,high,inactive,0
Shane Blankenship,96,high,inactive,1
Andy Thomas,96,high,active,3
Jan Gerber,96,high,active,0
W. Orion Fairman,95,high,inactive,0
Davis Faver,95,high,active,0
Casey Weeks,95,low,stale,1
Jason Stewart,95,high,active,0
Brian Glen,94,high,stale,1
Mark Hill,94,high,active,6
Evan Markewycz,94,high,inactive,0
Antonio Serracino,94,high,inactive,0
Mike Detota,93,high,inactive,0
Dan Shirley,93,high,inactive,0
Andrew Williamson,93,high,inactive,0
William Petrow,93,high,inactive,0
Nich Carpenter,93,high,active,1
Timothy Luporini,93,high,active,0
Mark Macoubrie,92,high,inactive,1
Aaron Booms,92,high,active,0
Danial Ebling,92,high,inactive,0
Colin Kilby,92,high,active,1
Brian Peel,92,high,active,0
Michael Golden,92,high,inactive,3
Logan Altmyer,92,high,active,3
Jay Kurth,91,high,active,0
Benjamin Howe,91,high,active,1
Blanton Payne,91,high,stale,1
Justin Harris,91,high,active,1
Jeff Glen,91,high,stale,0
Brett Nelson,91,high,inactive,0
John L. Voegeli,91,high,inactive,0
Michael Tritt,90,high,active,0
Mason Verbridge,90,high,inactive,0
Joshua Hickey,90,high,stale,0
Brian Tefft Jr.,90,high,inactive,0
Hugh Hart,90,low,active,1
Alan Rodriguez,89,high,active,0
Ben Kirchner,89,high,inactive,0
Kevin McGowan,89,high,inactive,0
Alex Reinkordt,89,high,inactive,0
Trent McQueen,89,high,inactive,0
Philip Mickleborough,89,high,active,1
Evan Arthur,89,high,active,0
Noah Quick,89,high,inactive,0
