driver_name,class,ranking,accuracy,events
Chris Endres,MA,100,high,2
Eric Less,MA,97,high,1
Todd Briley,MA,94,high,5
Mark Macoubrie,MA,92,high,4
Niles Davis,MA,89,high,1
Danial Ebling,MA,89,high,2
Shane Blankenship,MA,89,high,1
Aaron Booms,MA,87,high,3
Jay Kurth,MA,86,high,1
Benjamin Howe,MA,84,high,6
Alex Reinkordt,MA,84,high,1
Michael Tritt,MA,83,high,2
Kevin Schatz,MA,83,high,1
Warren Elliott,MA,82,high,1
Dan Quiet,MA,82,high,1
Alan Rodriguez,MA,81,high,3
Leon Drake,MA,81,high,2
Eric Genack,MA,80,high,1
Jason Fuller,MA,78,high,2
Michael Miller,MA,78,high,1
Joe Lavelle,MA,78,high,1
Valerie Briley,MA,78,high,3
Nicholas Ormiston,MA,78,medium,2
Joshua Campfield,MA,77,high,2
Benji Knox,MA,77,high,1
Michael Detota,MA,75,high,1
Fritz Croy,MA,74,high,1
Mike Thomas,MA,73,high,1
Jason Baney,MA,73,high,3
Sean Spring,MA,72,medium,2
Hal Denham,MA,72,high,1
Diego De Castro,MA,72,high,1
Nefty Bloom,MA,71,high,2
Jonathon Nagel,MA,70,high,1
Ryan Plourde,MA,70,high,1
Elijah Kleeman,MA,70,high,1
Jamison Whisenhunt,MA,70,high,1
Leonard Kirk,MA,69,high,1
Drew Little,MA,69,high,1
Joshua Mefford,MA,68,high,1
Angelica Miller,MA,68,high,1
Chris Delaney,MA,67,high,2
Brent Blakely,MA,67,high,1
Maddux Mullinax,MA,67,high,1
John Joyce,MA,67,high,1
Michael Harbeson,MA,67,high,1
Jess Moeding,MA,66,high,2
Jeff Maize,MA,65,high,1
Nicholas Stoll,MA,65,high,2
Austin Dowda,MA,65,high,2
Conner Greer,MA,65,high,1
Mick Henry,MA,65,high,1
Wendel Croy,MA,63,high,1
James Woodward,MA,63,high,2
Connor Ryan,MA,63,high,2
Glenn Farrant,MA,63,high,1
Michael Sedlack,MA,62,high,2
Dillon Nafziger,MA,61,high,1
Alicia Quiet,MA,61,high,1
Elizabeth Austin,MA,60,high,1
Kent Hamilton,MA,60,high,2
Bob Martin,MA,58,high,1
Lee Shadbolt,MA,58,high,1
Jesse Bopp,MA,57,high,1
Brian Gilbreath,MA,57,high,1
Joseph Bopp,MA,57,high,1
Michael Julian,MA,55,high,1
Ceili McClarney,MA,55,high,1
Eric Collet,MA,54,high,1
Jonathan Olschewski,MA,53,high,2
Jamie Lyvers,MA,50,high,1
Skye Romanoff,MA,49,high,1
Blake McIntyre,MA,48,high,1
Grant Steen,MA,48,high,1
Jane Lien,MA,40,high,1
Greggory Rome,MA,39,high,1
Adam Deschane,MA,36,high,1
John Barnett,MA,35,high,1
Alan McIntosh,MA,33,high,1
Kyle Benedict,MA,30,high,1
Erik Olson,MA,28,high,1
Dave Eggert,MA,26,high,1
Richard Ross,MA,24,high,1
Randy Tackett,MA,21,high,1
gray Harrison,MA,18,high,1
Amanda Maize,MA,17,high,1
Tami Tackett,MA,13,high,2
Gary Griffith,MA,1,high,1
Shane Blankenship,MF,100,low,1
Aaron Miller,MF,100,high,1
Jarrod Barlow,MF,100,high,4
Andy Thomas,MF,95,high,5
Colin Kilby,MF,92,high,4
Brian Peel,MF,92,high,6
Blanton Payne,MF,92,high,3
Trent McQueen,MF,92,high,1
