date,event_name,class,driver1,driver2,normalized_diff_per_60s,raw_diff_sec,driver1_time,driver2_time
2025-6-28,2025 Sediv Divisional,US,Evan Williams,Timmy Luporini,-0.955,-10.498,654.089,664.587
2025-10-17,2025 National Championship,US,Evan Williams,Ed Trudeau,-0.221,-2.581,700.500,703.081
2025-10-17,2025 National Championship,US,Evan Williams,Timothy Luporini,-0.607,-7.124,700.500,707.624
2025-10-17,2025 National Championship,US,Evan Williams,Jonathan Coatney,-4.121,-49.829,700.500,750.329
2025-10-17,2025 National Championship,US,Evan Williams,Stephen Parsons,-6.911,-85.615,700.500,786.115
2025-6-28,2025 Sediv Divisional,US,Timmy Luporini,Evan Williams,0.955,10.498,664.587,654.089
2025-6-28,2025 Sediv Divisional,TM,Steve Cerqueira,Ashley Roper,-1.792,-22.719,749.340,772.059
2025-6-28,2025 Sediv Divisional,TM,Steve Cerqueira,Eli Drennan,-1.908,-24.214,749.340,773.554
2025-6-28,2025 Sediv Divisional,TM,Steve Cerqueira,Meagan Cerqueira,-2.002,-25.428,749.340,774.768
2025-6-28,2025 Sediv Divisional,TM,Steve Cerqueira,Edwin Estep,-3.058,-39.192,749.340,788.532
2025-6-28,2025 Sediv Divisional,TM,Steve Cerqueira,Michael Donovan,-3.292,-42.269,749.340,791.609
2025-6-28,2025 Sediv Divisional,TM,Ashley Roper,Steve Cerqueira,1.792,22.719,772.059,749.340
2025-6-28,2025 Sediv Divisional,TM,Ashley Roper,Eli Drennan,-0.116,-1.495,772.059,773.554
2025-6-28,2025 Sediv Divisional,TM,Ashley Roper,Meagan Cerqueira,-0.210,-2.709,772.059,774.768
2025-6-28,2025 Sediv Divisional,TM,Ashley Roper,Edwin Estep,-1.267,-16.473,772.059,788.532
2025-6-28,2025 Sediv Divisional,TM,Ashley Roper,Michael Donovan,-1.500,-19.550,772.059,791.609
2025-6-28,2025 Sediv Divisional,TM,Eli Drennan,Steve Cerqueira,1.908,24.214,773.554,749.340
2025-6-28,2025 Sediv Divisional,TM,Eli Drennan,Ashley Roper,0.116,1.495,773.554,772.059
2025-6-28,2025 Sediv Divisional,TM,Eli Drennan,Meagan Cerqueira,-0.094,-1.214,773.554,774.768
2025-6-28,2025 Sediv Divisional,TM,Eli Drennan,Edwin Estep,-1.151,-14.978,773.554,788.532
2025-6-28,2025 Sediv Divisional,TM,Eli Drennan,Michael Donovan,-1.384,-18.055,773.554,791.609
2025-6-28,2025 Sediv Divisional,TM,Meagan Cerqueira,Steve Cerqueira,2.002,25.428,774.768,749.340
2025-6-28,2025 Sediv Divisional,TM,Meagan Cerqueira,Ashley Roper,0.210,2.709,774.768,772.059
2025-6-28,2025 Sediv Divisional,TM,Meagan Cerqueira,Eli Drennan,0.094,1.214,774.768,773.554
2025-6-28,2025 Sediv Divisional,TM,Meagan Cerqueira,Edwin Estep,-1.057,-13.764,774.768,788.532
2025-6-28,2025 Sediv Divisional,TM,Meagan Cerqueira,Michael Donovan,-1.290,-16.841,774.768,791.609
2025-6-28,2025 Sediv Divisional,TM,Edwin Estep,Steve Cerqueira,3.058,39.192,788.532,749.340
2025-6-28,2025 Sediv Divisional,TM,Edwin Estep,Ashley Roper,1.267,16.473,788.532,772.059
2025-6-28,2025 Sediv Divisional,TM,Edwin Estep,Eli Drennan,1.151,14.978,788.532,773.554
2025-6-28,2025 Sediv Divisional,TM,Edwin Estep,Meagan Cerqueira,1.057,13.764,788.532,774.768
2025-6-28,2025 Sediv Divisional,TM,Edwin Estep,Michael Donovan,-0.234,-3.077,788.532,791.609
2025-6-28,2025 Sediv Divisional,TM,Michael Donovan,Steve Cerqueira,3.292,42.269,791.609,749.340
2025-6-28,2025 Sediv Divisional,TM,Michael Donovan,Ashley Roper,1.500,19.550,791.609,772.059
2025-6-28,2025 Sediv Divisional,TM,Michael Donovan,Eli Drennan,1.384,18.055,791.609,773.554
2025-6-28,2025 Sediv Divisional,TM,Michael Donovan,Meagan Cerqueira,1.290,16.841,791.609,774.768
2025-6-28,2025 Sediv Divisional,TM,Michael Donovan,Edwin Estep,0.234,3.077,791.609,788.532
2025-6-28,2025 Sediv Divisional,SF,Ryan Finch,Chris Raglin,-1.420,-15.776,658.659,674.435
2025-6-28,2025 Sediv Divisional,SF,Ryan Finch,Tom Harrington,-1.924,-21.467,658.659,680.126
2025-6-28,2025 Sediv Divisional,SF,Ryan Finch,Shawna Bowman,-2.474,-27.733,658.659,686.392
2025-6-28,2025 Sediv Divisional,SF,Ryan Finch,Alicia Harrington,-6.750,-78.514,658.659,737.173
2025-10-17,2025 National Championship,SF,Ryan Finch,Tom Harrington,0.944,12.036,771.242,759.206
2025-10-17,2025 National Championship,SF,Ryan Finch,Christopher Raglin,0.753,9.614,771.242,761.628
2025-10-17,2025 National Championship,SF,Ryan Finch,Hubert Borowski,-0.692,-8.942,771.242,780.184
2025-10-17,2025 National Championship,SF,Ryan Finch,Shawna Bowman,-0.925,-11.979,771.242,783.221
2025-10-17,2025 National Championship,SF,Ryan Finch,Harold Denham,-3.059,-40.354,771.242,811.596
2025-10-17,2025 National Championship,SF,Ryan Finch,Alicia Harrington,-4.275,-56.983,771.242,828.225
2025-10-17,2025 National Championship,SF,Ryan Finch,Keith Lightfoot,-4.620,-61.760,771.242,833.002
2025-10-17,2025 National Championship,SF,Ryan Finch,Kane Nale,-13.363,-193.299,771.242,964.541
2025-6-28,2025 Sediv Divisional,SF,Chris Raglin,Ryan Finch,1.420,15.776,674.435,658.659
2025-6-28,2025 Sediv Divisional,SF,Chris Raglin,Tom Harrington,-0.504,-5.691,674.435,680.126
2025-6-28,2025 Sediv Divisional,SF,Chris Raglin,Shawna Bowman,-1.054,-11.957,674.435,686.392
2025-6-28,2025 Sediv Divisional,SF,Chris Raglin,Alicia Harrington,-5.333,-62.738,674.435,737.173
2025-6-28,2025 Sediv Divisional,SF,Tom Harrington,Ryan Finch,1.924,21.467,680.126,658.659
2025-6-28,2025 Sediv Divisional,SF,Tom Harrington,Chris Raglin,0.504,5.691,680.126,674.435
2025-6-28,2025 Sediv Divisional,SF,Tom Harrington,Shawna Bowman,-0.550,-6.266,680.126,686.392
2025-6-28,2025 Sediv Divisional,SF,Tom Harrington,Alicia Harrington,-4.830,-57.047,680.126,737.173
2024-08-10,2024 Sediv Divisional,SF,Tom Harrington,Shawna Bowman,-0.576,-5.782,598.943,604.725
2024-08-10,2024 Sediv Divisional,SF,Tom Harrington,Johnny Brewster,-1.965,-19.946,598.943,618.889
2024-08-10,2024 Sediv Divisional,SF,Tom Harrington,Kane Nale,-5.564,-58.244,598.943,657.187
2025-10-17,2025 National Championship,SF,Tom Harrington,Christopher Raglin,-0.191,-2.422,759.206,761.628
2025-10-17,2025 National Championship,SF,Tom Harrington,Ryan Finch,-0.944,-12.036,759.206,771.242
2025-10-17,2025 National Championship,SF,Tom Harrington,Hubert Borowski,-1.635,-20.978,759.206,780.184
2025-10-17,2025 National Championship,SF,Tom Harrington,Shawna Bowman,-1.868,-24.015,759.206,783.221
2025-10-17,2025 National Championship,SF,Tom Harrington,Harold Denham,-4.002,-52.390,759.206,811.596
2025-10-17,2025 National Championship,SF,Tom Harrington,Alicia Harrington,-5.217,-69.019,759.206,828.225
2025-10-17,2025 National Championship,SF,Tom Harrington,Keith Lightfoot,-5.562,-73.796,759.206,833.002
2025-10-17,2025 National Championship,SF,Tom Harrington,Kane Nale,-14.295,-205.335,759.206,964.541
2024-10-18,2024 National Championships,SF,Tom Harrington,Donald Carl,0.219,2.585,708.448,705.863
2024-10-18,2024 National Championships,SF,Tom Harrington,Hubert Borowski,-0.059,-0.699,708.448,709.147
2024-10-18,2024 National Championships,SF,Tom Harrington,Vincent Dozeman,-1.238,-14.771,708.448,723.219
2024-10-18,2024 National Championships,SF,Tom Harrington,Shawna Bowman,-2.090,-25.118,708.448,733.566
2024-10-18,2024 National Championships,SF,Tom Harrington,Johnny Brewster,-2.668,-32.221,708.448,740.669
