date,event_name,class,car_number,first_name,last_name,car_model,region,total
2021-10-15,2021 National Championship,SF,24,Chang Ho,Kim,2000 Acura Integra,New England,617.598
2021-10-15,2021 National Championship,SF,965,Jason,Meyer,1996 Honda Civic,Detroit,621.525
2021-10-15,2021 National Championship,SF,7124,Phillip,Bunker,2018 Honda Civic HB Sport,Detroit,634.797
2021-10-15,2021 National Championship,SF,124,Kim,Hapgood,1999 Toyota Corolla,New England,639.468
2021-10-15,2021 National Championship,SF,965,Mike,Bommarito,Acura Integra,Detroit,643.895
2021-10-15,2021 National Championship,SF,33,Josh,Armantrout,2007 Mini Cooper S,Milwaukee,617.945
2021-10-15,2021 National Championship,SF,32,Hal,Denham,2006 Mini Cooper S,New England,627.049
2021-10-15,2021 National Championship,SF,684,Ray,Davis,2002 Mini Cooper,Washington,636.493
2021-10-15,2021 National Championship,SF,18,Trevor,Graham,2012 Ford Fiesta,Detroit,642.302
2021-10-15,2021 National Championship,SF,84,Vince,Moellering,2000 Volkswagen Golf,Central North,647.486
2021-10-15,2021 National Championship,SF,513,Eric,Dieterich,2019 Mini Cooper,Chicago,651.668
2021-10-15,2021 National Championship,SF,184,Stuart,Rotblat,2000 Volkswagen Golf,Central North,660.797
2021-10-15,2021 National Championship,SF,95,Tami,Tackett,2008 Chevrolet Aveo,Ohio Valley,677.014
2021-10-15,2021 National Championship,SF,40,Brock,Yoder,2006 Chevrolet Cobalt LS,Ohio Valley,652.797
2021-10-15,2021 National Championship,SF,433,Stephen Otis,Lee Miller,2002 Ford FOCUS SVT,Central Florida,664.000
2021-10-15,2021 National Championship,SF,195,Donna,England,2008 Chevrolet Aveo S,Ohio Valley,686.632
2021-10-15,2021 National Championship,SR,186,Sean,Grogan,1998 Porsche Boxster,Detroit,562.906
2021-10-15,2021 National Championship,SR,314,John L.,Voegeli,2003 Mazda MX-5 Miata,Ohio Valley,583.942
2021-10-15,2021 National Championship,SR,572,Adam,Raymer,1990 Mazda Mx-5 Miata,Tennessee,596.599
2021-10-15,2021 National Championship,SR,41,Mark,Macoubrie,1999 Porsche 911 Carrera,Kansas City,583.000
2021-10-15,2021 National Championship,SR,93,Logan,Altmyer,1993 Nissan 240sx,Tennessee,593.340
2021-10-15,2021 National Championship,SR,6,Don,Breneman,2001 Mazda Miata,Lone Star,599.404
2021-10-15,2021 National Championship,SR,16,David,Myers,1999 Mazda Miata,Susquehanna,632.710
2021-10-15,2021 National Championship,SR,90,Jo,Dziengel,1992 Mazda Miata,Cincinnati,649.827
2021-10-15,2021 National Championship,SA,53,Brad,Legris,2015 Lexus RC 350,Detroit,658.880
2021-10-15,2021 National Championship,SA,334,Noah,Quick,2004 Subaru Impreza WRX,East Tennessee,678.499
2021-10-15,2021 National Championship,SA,186,Jan,Gerber,2006 Mitsubishi EVO IX,Nebraska,681.229
2021-10-15,2021 National Championship,SA,8,Sean,Heinrich,2001 Subaru Legacy,Iowa,676.713
2021-10-15,2021 National Championship,SA,63,Timothy,Thompson,2016 Ford Focus RS,Salina,680.748
2021-10-15,2021 National Championship,SA,318,Trenton,Von Holten,2015 Subaru STI,Iowa,681.484
2021-10-15,2021 National Championship,SA,37,Jim,Golden,2001 Subaru Impreza 2.5RS,Washington,683.240
2021-10-15,2021 National Championship,SA,86,Steve,Ducharme,2006 Mitsubishi Lancer Evo,Nebraska,694.839
2021-10-15,2021 National Championship,SA,118,Alex,Pankiw,2000 Subaru Impreza Outback,Susquehanna,709.015
2021-10-15,2021 National Championship,SA,16,David,Piccioli,2009 Suzuki SX4,Ohio Valley,732.130
2021-10-15,2021 National Championship,SA,116,Ashley,Piccioli,2009 Suzuki SX4,Ohio Valley,755.635
2021-10-15,2021 National Championship,SA,18,Geoffrey,Wolpert,2000 Subaru Impreza Outback,Susquehanna,690.613
2021-10-15,2021 National Championship,SA,9,Tyler,Powers,2018 Jeep Renegade,Philadelphia,702.562
2021-10-15,2021 National Championship,SA,23,Colin,Sheidler,2003 Subaru WRX,Detroit,709.192
2021-10-15,2021 National Championship,SA,71,Scott,Johnson,2017 Subaru Crosstrek,Ohio Valley,736.293
2021-10-15,2021 National Championship,SA,11,Aaron,Linke,2006 Audi A6,Detroit,809.912
2021-10-15,2021 National Championship,PF,4,Leon,Drake,1991 Honda C-R/X,Tennessee,592.726
2021-10-15,2021 National Championship,PF,26,Christian,Retterer,2001 Acura Integra GSR,Atlanta,595.910
2021-10-15,2021 National Championship,PF,937,Josh,Remmetter,2005 Mini Cooper S,Detroit,603.027
2021-10-15,2021 National Championship,PF,136,Donald,Carl,1992 Nissan Sentra SE,Bixby,609.903
2021-10-15,2021 National Championship,PF,72,Alex,Ashbaugh,2003 Dodge Neon SXT,Ohio Valley,629.488
2021-10-15,2021 National Championship,PF,44,Chris,Murphy,2012 Ford Fiesta,New York,639.064
2021-10-15,2021 National Championship,PF,21,Jake,Bucknam,2012 Mini Cooper S,Finger Lakes,594.065
