date,event_name,first_name,last_name,car_number,class,car_model,region,total
2024-06-14,2024 Central Divisional,Robert,Seelig,163,SA,2016 Ford Focus RS,Northeast Oklahoma,1075.921
2024-06-14,2024 Central Divisional,Timothy,Thompson,63,SA,2016 Ford Focus RS,Northeast Oklahoma,1075.973
2024-06-14,2024 Central Divisional,Donald,Carl,11,SF,1997 Dodge Neon,Northeast Oklahoma,1105.986
2024-06-14,2024 Central Divisional,Mark,Hill,45,PA,2006 Mitsubishi E-voh IX,Northeast Oklahoma,1081.196
2024-06-14,2024 Central Divisional,Jeff,Maize,25,PA,2003 Subaru Impreza WRX,Northeast Oklahoma,1081.604
2024-06-14,2024 Central Divisional,Amanda,Maize,5,PA,2003 Subaru Impreza WRX,Northeast Oklahoma,1272.056
2024-06-14,2024 Central Divisional,Jim,Rowland,36,PF,1992 Nissan Sentra SE-R,Northeast Oklahoma,1087.169
2024-06-14,2024 Central Divisional,Bradley,Kropp,77,PF,2012 Volvo C30,Northeast Oklahoma,1135.852
2024-06-14,2024 Central Divisional,Broxlin,Pace,69,PF,2000 Infiniti I30,Northeast Oklahoma,1240.740
2024-06-14,2024 Central Divisional,James,Green,98,PR,2003 Toyota mr2,Northeast Oklahoma,1140.929
2024-06-14,2024 Central Divisional,Kevin,Roewe,6,PR,2015 Dodge Challenger RT,Northeast Oklahoma,1177.625
2024-06-14,2024 Central Divisional,Todd,Briley,25,MA,1993 Subaru Impreza,Northeast Oklahoma,1046.268
2024-06-14,2024 Central Divisional,Jason,Baney,3,MA,2002 Subaru WRX,Northeast Oklahoma,1070.094
2024-06-14,2024 Central Divisional,Valerie,Briley,125,MA,1993 Subaru Impreza,Northeast Oklahoma,1097.196
2024-06-14,2024 Central Divisional,Nefty,Bloom,34,MA,2002 Subaru WRX,Northeast Oklahoma,1114.031
2024-06-14,2024 Central Divisional,Blanton,Payne,7,MF,1991 Honda Civic SI,Northeast Oklahoma,1041.489
2024-06-14,2024 Central Divisional,Justin,Harris,13,MF,2000 Ford Focus ZX3,Northeast Oklahoma,1102.276
2024-06-14,2024 Central Divisional,Jacob,Light,913,MF,2007 Volkswagen Rabbit,Northeast Oklahoma,1120.501
2024-06-14,2024 Central Divisional,Greg,Cheney,43,MF,2014 Ford Fiesta ST,Northeast Oklahoma,1138.207
2024-06-14,2024 Central Divisional,Zechariah,Hooker,34,MF,2020 Toyota Corolla SE,Northeast Oklahoma,1210.725
2024-06-14,2024 Central Divisional,Josh,Davis,791,MR,2013 Scion FRS,Northeast Oklahoma,1140.511
2024-06-14,2024 Central Divisional,Michael,Stock,2,MR,1985 Toyota MR2,Northeast Oklahoma,1141.520
2024-06-14,2024 Central Divisional,Doug,Leibman,21,MR,1971 Volkswagen Super Beetle,Northeast Oklahoma,1169.822
2024-06-14,2024 Central Divisional,Randy,Puls,77,MR,1994 Mazda MX5,Northeast Oklahoma,1244.013
2024-06-14,2024 Central Divisional,Susan,Puls,7,MR,1994 Mazda MX5,Northeast Oklahoma,1298.787
