date,event_name,first_name,last_name,car_number,class,car_model,region,total
2024-10-18,2024 National Championships,Donald,Carl,2,SF,2024 Volkswagen Golf GTI,Northeast,705.863
2024-10-18,2024 National Championships,Tom,Harrington,60,SF,2007 Honda Civic SI,Tennessee,708.448
2024-10-18,2024 National Championships,Hubert,Borowski,9,SF,2008 Honda Civic,Continent,709.147
2024-10-18,2024 National Championships,Vincent,Dozeman,31,SF,2007 Honda Civic SI,Arizona,723.219
2024-10-18,2024 National Championships,Shawna,Bowman,94,SF,2008 Honda Civic Si,Tennessee,733.566
2024-10-18,2024 National Championships,Johnny,Brewster,160,SF,2007 Honda Civic Si,Alabama,740.669
2024-10-18,2024 National Championships,Lee,Reynolds,337,SF,1996 Toyota Tercel,Central F,749.678
2024-10-18,2024 National Championships,Samantha,Steelman,48,SF,2014 Ford Fiesta ST,Milwauke,751.317
2024-10-18,2024 National Championships,Kane,Nale,44,SF,2010 Mazda Speed 3,Tennessee,794.682
2024-10-18,2024 National Championships,Chris,Crafford,11,SF,2006 Acura rsx typeS,Alabama,797.019
2024-10-18,2024 National Championships,Logan,Altmyer,93,SR,1993 Nissan 240sx,Tennessee,719.819
2024-10-18,2024 National Championships,Josh,Armantrout,33,SR,Porsche Boxster,Milwauke,724.256
2024-10-18,2024 National Championships,Michael,Golden,2,SR,2001 Toyota MR2,Washingt,724.297
2024-10-18,2024 National Championships,Adam,Raymer,72,SR,1990 Mazda Mx-5 Miata,Tennessee,729.225
2024-10-18,2024 National Championships,Jason,Stewart,17,SR,1999 Mazda Miata,Tennessee,733.242
2024-10-18,2024 National Championships,James,Green,98,SR,2003 Toyota mr2,Nebraska,736.955
2024-10-18,2024 National Championships,Jared,Phillippe,182,SR,1999 BMW 328i,Kansas C,740.502
2024-10-18,2024 National Championships,Trevor,Phillippe,82,SR,1999 BMW 328i,Kansas C,740.788
2024-10-18,2024 National Championships,Ceili,Mcclarney,18,SR,1997 BMW 318i,Tennessee,821.157
2024-10-18,2024 National Championships,Jasmine,McClarney,118,SR,1997 BMW 318i,Tennessee,824.192
2024-10-18,2024 National Championships,Keith,Lightfoot,99,SR,1994 Chevrolet Corvette,Colorado,847.781
2024-10-18,2024 National Championships,Shelton,Wright,179,SA,2018 Ford Focus RS,Tennessee,678.935
2024-10-18,2024 National Championships,Timothy,Thompson,63,SA,2016 Ford FOCUS RS,Salina,684.592
2024-10-18,2024 National Championships,Jan,Gerber,186,SA,2006 Mitsubishi EVO IX,Nebraska,686.673
2024-10-18,2024 National Championships,Charles,Wright,79,SA,2018 Ford Focus RS,Tennessee,690.778
2024-10-18,2024 National Championships,Robert,Seelig,163,SA,2016 Ford Focus RS,Northeast O,703.780
2024-10-18,2024 National Championships,Ryan,Finch,132,SA,1998 Subaru Legacy GT,Northwest,724.600
2024-10-18,2024 National Championships,Charles,Krampert,32,SA,1998 Subaru Legacy GT,Tennessee,744.621
2024-10-18,2024 National Championships,Steve,Ducharme,86,SA,2006 Mitsubishi Lancer Evo,Nebraska,761.036
2024-10-18,2024 National Championships,Jason,Fuller,2,PF,2008 Honda Civic Si,Tennessee,695.077
2024-10-18,2024 National Championships,Christian,Retterer,26,PF,2001 Acura Integra GSR,Atlanta,713.974
2024-10-18,2024 National Championships,David,Capesius,90,PF,2004 Dodge SRT4,Iowa,717.692
2024-10-18,2024 National Championships,Edwin,Cunill,5,PF,2006 Subaru Impreza WRX T,Alabama,724.840
2024-10-18,2024 National Championships,Peter,Dozeman,3,PF,2006 Honda Civic SI,Arizona,734.048
2024-10-18,2024 National Championships,Bradley,Kropp,77,PF,2012 Volvo C30,Northeast O,749.525
2024-10-18,2024 National Championships,Bryan,Tippens,8,PF,2006 Volkswagen GTI,Milwauke,767.824
2024-10-18,2024 National Championships,Shawn,Roberts,74,PR,2002 Mazda Miata,Washingt,689.100
2024-10-18,2024 National Championships,Niles,Davis,125,PR,1996 Mazda Miata,Kansas,702.015
2024-10-18,2024 National Championships,Joshua,Mefford,25,PR,1996 Mazda Miata,Kansas C,720.312
2024-10-18,2024 National Championships,Gonzalo,San Miguel,2,PR,1997 Mazda Miata,Utah,727.918
2024-10-18,2024 National Championships,Jeremiah,Hemphill,65,PR,1998 BMW Z3,Central F,729.030
2024-10-18,2024 National Championships,Jason,Lee,102,PR,1997 Mazda Miata,Badlands,740.122
2024-10-18,2024 National Championships,Katie,Orgler,174,PR,2002 Mazda Miata,Washingt,750.464
2024-10-18,2024 National Championships,Pete,Remner,774,PR,1981 Mazda RX-7,Western O,754.541
2024-10-18,2024 National Championships,Casey,Tolbert,944,PR,1986 Porsche 944,Tennessee,763.340
2024-10-18,2024 National Championships,Rudy,Bowen,42,PR,Mazda Miata Argo,Tennessee,772.775
2024-10-18,2024 National Championships,William,Watson,165,PR,1998 BMW Z3,Central F,781.300
2024-10-18,2024 National Championships,Chris,Johnson,142,PR,1990 Mazda Miata,Tennessee,797.018
2024-10-18,2024 National Championships,Ben,Guiraldes,86,PR,2023 Toyota GR86,Central F,799.087
2024-10-18,2024 National Championships,Chris,Raglin,7,PR,Nissan Titan,Atlanta,831.656
2024-10-18,2024 National Championships,Karissa,Peel,33,PR,1996 Ford Mustang,Tennessee,894.517
2024-10-18,2024 National Championships,Mark,Hill,45,PA,2006 Mitsubishi E-voh IX,Kansas,689.703
