date,event_name,first_name,last_name,car_number,class,car_model,region,total
2024-06-01,2024 Pacific Divisional day one,Nicholas,Ormiston,11,MA,Unknown,Pacific,483.531
2024-06-01,2024 Pacific Divisional day one,Elijah,Kleeman,444,MA,Unknown,Pacific,506.466
2024-06-01,2024 Pacific Divisional day one,Sean,Spring,16,MA,Unknown,Pacific,509.211
2024-06-01,2024 Pacific Divisional day one,Brent,Blakely,58,MA,Unknown,Pacific,511.269
2024-06-01,2024 Pacific Divisional day one,Skye,Romanoff,561,MA,Unknown,Pacific,544.237
2024-06-01,2024 Pacific Divisional day one,Jane,Lien,73,MA,Unknown,Pacific,562.194
2024-06-01,2024 Pacific Divisional day one,Grover,Davis,2,MF,Unknown,Pacific,521.283
2024-06-01,2024 Pacific Divisional day one,D'John,Keith,3,MF,Unknown,Pacific,522.590
2024-06-01,2024 Pacific Divisional day one,Vincent,Dozeman,31,MF,Unknown,Pacific,523.636
2024-06-01,2024 Pacific Divisional day one,Sanjay,Singh,679,MF,Unknown,Pacific,545.515
2024-06-01,2024 Pacific Divisional day one,Philip,Mickleborough,7,MR,Unknown,Pacific,532.093
2024-06-01,2024 Pacific Divisional day one,Tyler,Johnson-Williams,144,MR,Unknown,Pacific,537.931
2024-06-01,2024 Pacific Divisional day one,Nigel,Mott,62,MR,Unknown,Pacific,552.551
2024-06-01,2024 Pacific Divisional day one,Clinton,Padilla,556,MR,Unknown,Pacific,558.888
2024-06-01,2024 Pacific Divisional day one,Damon,Espino,134,MR,Unknown,Pacific,590.405
2024-06-01,2024 Pacific Divisional day one,Cory,Siler,65,PA,Unknown,Pacific,516.812
2024-06-01,2024 Pacific Divisional day one,Sevag,Chanchanian,137,PA,Unknown,Pacific,517.189
2024-06-01,2024 Pacific Divisional day one,Eric,Sinclair,74,PA,Unknown,Pacific,532.932
2024-06-01,2024 Pacific Divisional day one,David,Raskowsky,333,PA,Unknown,Pacific,542.194
2024-06-01,2024 Pacific Divisional day one,Sam,Borda,666,PA,Unknown,Pacific,550.754
2024-06-01,2024 Pacific Divisional day one,Karan,Bagga,,PA,Unknown,Pacific,565.904
2024-06-01,2024 Pacific Divisional day one,James,Bingham,21,PA,Unknown,Pacific,456.821
2024-06-01,2024 Pacific Divisional day one,Gurbaj,Gurbaj,99,PF,Unknown,Pacific,597.683
2024-06-01,2024 Pacific Divisional day one,Bill,Martin,74,PF,Unknown,Pacific,268.523
2024-06-01,2024 Pacific Divisional day one,Charles,Graham,784,PR,Unknown,Pacific,581.938
2024-06-01,2024 Pacific Divisional day one,Casey,Weeks,22,SA,Unknown,Pacific,564.763
2024-06-01,2024 Pacific Divisional day one,Blake,McPherson,35,SA,Unknown,Pacific,594.790
2024-06-01,2024 Pacific Divisional day one,Steven,Salinas,25,SA,Unknown,Pacific,596.554
2024-06-01,2024 Pacific Divisional day one,Richard,Schreiber,6,SA,Unknown,Pacific,599.916
2024-06-01,2024 Pacific Divisional day one,Sylvain,Colin,98,SA,Unknown,Pacific,609.000
2024-06-01,2024 Pacific Divisional day one,Christopher,Sochan,386,SA,Unknown,Pacific,614.575
2024-06-01,2024 Pacific Divisional day one,Nikita,Latman,20,SA,Unknown,Pacific,612.412
2024-06-01,2024 Pacific Divisional day one,Aleksandr,Latman,120,SA,Unknown,Pacific,646.802
2024-06-01,2024 Pacific Divisional day one,Roger,Dumas,711,SA,Unknown,Pacific,652.267
2024-06-01,2024 Pacific Divisional day one,Wallace,Wood,245,SF,Unknown,Pacific,581.887
2024-06-01,2024 Pacific Divisional day one,Nathan,Brasil,310,SF,Unknown,Pacific,588.250
2024-06-01,2024 Pacific Divisional day one,Devon,Winrick,91,SF,Unknown,Pacific,592.597
2024-06-01,2024 Pacific Divisional day one,Nathan,Lumley,769,SF,Unknown,Pacific,624.515
2024-06-01,2024 Pacific Divisional day one,Tyler,Bandy,73,UM,Unknown,Pacific,494.806
2024-06-01,2024 Pacific Divisional day one,Kevin,Jones,77,UM,Unknown,Pacific,496.644
2024-06-01,2024 Pacific Divisional day one,Logan,Jones,50,UM,Unknown,Pacific,501.417
