date,event_name,first_name,last_name,car_number,class,car_model,region,total
2025-08-31,2025 Great Lakes Divisional,Gary,King,15,RT,1995 Ford Ranger,SWVRSCCA,982.272
2025-08-31,2025 Great Lakes Divisional,Ed,Trudeau,23,US,2019 Yamaha YXZ1000,SWVRSCCA,827.071
2025-08-31,2025 Great Lakes Divisional,Stephen,Parsons,428,US,2015 Polaris XP 1000,SWVRSCCA,875.413
2025-08-31,2025 Great Lakes Divisional,Gary,Rhodes,64,US,2024 Yamaha Yxz,SWVRSCCA,880.946
2025-08-31,2025 Great Lakes Divisional,Pete,Bates,44,US,2019 Yamaha YXZ1000R,SWVRSCCA,912.100
2025-08-31,2025 Great Lakes Divisional,Jonathan,Coatney,99,UM,2020 Can-Am Maverick X3,SWVRSCCA,832.742
2025-08-31,2025 Great Lakes Divisional,Rogerio,Balbino,777,UM,2021 Honda Talon R,SWVRSCCA,839.654
2025-08-31,2025 Great Lakes Divisional,Nich,Carpenter,111,MR,1990 Mazda MX-5,SWVRSCCA,932.171
2025-08-31,2025 Great Lakes Divisional,Evan,Arthur,11,MR,1990 Mazda Miata,SWVRSCCA,934.682
2025-08-31,2025 Great Lakes Divisional,Colter,Taylor,79,MR,1979 Ford,SWVRSCCA,1172.232
2025-08-31,2025 Great Lakes Divisional,Zbigniew,Lorenc,22,MF,1998 Volkswagen GTI,SWVRSCCA,842.887
2025-08-31,2025 Great Lakes Divisional,Andy,Thomas,82,MF,2000 Toyota celica gts,SWVRSCCA,852.304
2025-08-31,2025 Great Lakes Divisional,Mike,Chilcote,64,MF,2000 Mazda Protege,SWVRSCCA,869.943
2025-08-31,2025 Great Lakes Divisional,Shawna,Bowman,94,MF,2008 Honda Civic Si,SWVRSCCA,871.148
2025-08-31,2025 Great Lakes Divisional,David,Chilcote,164,MF,2000 Mazda Protege LX,SWVRSCCA,915.324
2025-08-31,2025 Great Lakes Divisional,Valerie,Hansen,70,MF,2006 Nissan Spec v ser sentra,SWVRSCCA,930.757
2025-08-31,2025 Great Lakes Divisional,Todd,Briley,25,MA,1993 Subaru Impreza,SWVRSCCA,816.619
2025-08-31,2025 Great Lakes Divisional,Jason,Fuller,2,MA,2001 Subaru Impreza 2.5RS,SWVRSCCA,844.494
2025-08-31,2025 Great Lakes Divisional,Michael,Harbeson,149,MA,2000 Subaru Legacy GT,SWVRSCCA,884.512
2025-08-31,2025 Great Lakes Divisional,Connor,Ryan,41,MA,1997 Audi A4 Quattro,SWVRSCCA,895.102
2025-08-31,2025 Great Lakes Divisional,Eric,Collet,141,MA,Audi A4,SWVRSCCA,925.437
2025-08-31,2025 Great Lakes Divisional,Jamie,Lyvers,49,MA,2000 Subaru Legacy GT,SWVRSCCA,938.857
2025-08-31,2025 Great Lakes Divisional,Greggory,Rome,23,MA,2000 Subaru Impreza 2.5RS,SWVRSCCA,976.131
2025-08-31,2025 Great Lakes Divisional,Richard,Ross,123,MA,2000 Subaru Impreza 2.5 RS,SWVRSCCA,1032.666
2025-08-31,2025 Great Lakes Divisional,Randy,Tackett,195,MA,2004 Subaru FrankenWRX,SWVRSCCA,1044.792
2025-08-31,2025 Great Lakes Divisional,Tami,Tackett,95,MA,2004 Subaru FrankenWRX,SWVRSCCA,1074.172
2025-08-31,2025 Great Lakes Divisional,Shawn,Roberts,74,PR,2002 Mazda Miata,SWVRSCCA,889.492
2025-08-31,2025 Great Lakes Divisional,Pete,Remner,774,PR,1981 Mazda RX-7,SWVRSCCA,932.365
2025-08-31,2025 Great Lakes Divisional,Katie,Orgler,174,PR,2002 Mazda Miata,SWVRSCCA,953.809
2025-08-31,2025 Great Lakes Divisional,Sidney,Scott,78,PF,2002 Mini Cooper S,SWVRSCCA,890.952
2025-08-31,2025 Great Lakes Divisional,Jason,Brown,364,PA,2006 Subaru Wrx,SWVRSCCA,1112.069
2025-08-31,2025 Great Lakes Divisional,Michael,Golden,2,SR,2001 Toyota MR2,SWVRSCCA,878.379
2025-08-31,2025 Great Lakes Divisional,Timothy,Thompson,136,SA,2025 Toyota GR Corolla,SWVRSCCA,857.566
2025-08-31,2025 Great Lakes Divisional,Trevor,Mertz,555,SA,2011 Audi A4 avant,SWVRSCCA,884.914
2025-08-31,2025 Great Lakes Divisional,Jesse,Thompson,36,SA,2025 Toyota GR Corolla,SWVRSCCA,896.257
2025-08-31,2025 Great Lakes Divisional,George,Nelson,1,SA,2017 Volkswagen Golf R,SWVRSCCA,917.269
2025-08-31,2025 Great Lakes Divisional,Natalie,Mertz,55,SA,2011 Audi A4 avant,SWVRSCCA,989.458
