date,event_name,first_name,last_name,car_number,class,car_model,region,total
2025-07-05,2025 Midwest Divisional,Timothy,Thompson,63,SA,2016 Ford FOCUS RS,Midiv,835.009
2025-07-05,2025 Midwest Divisional,Robert,Seelig,163,SA,2016 Ford Focus RS,Midiv,867.585
2025-07-05,2025 Midwest Divisional,Jesse,Thompson,36,SA,2025 Toyota GR Corolla,Midiv,930.998
2025-07-05,2025 Midwest Divisional,Zechariah,Hooker,34,SF,2007 Ford focus,Midiv,1019.896
2025-07-05,2025 Midwest Divisional,Randy,Puls,91,SR,2008 Ford Crown Victoria,Midiv,1059.942
2025-07-05,2025 Midwest Divisional,Susan,Puls,911,SR,2008 Ford Crown Victoria,Midiv,1136.150
2025-07-05,2025 Midwest Divisional,Mark,Hill,45,PA,2006 Mitsubishi E-voh IX,Midiv,832.169
2025-07-05,2025 Midwest Divisional,Bradley,Kropp,77,PF,2012 Volvo C30,Midiv,934.845
2025-07-05,2025 Midwest Divisional,Leon,Drake,62,MA,1995 Subaru Frankaru,Midiv,808.735
2025-07-05,2025 Midwest Divisional,Michael,Tritt,26,MA,2017 Ford Fuggus WRS,Midiv,837.623
2025-07-05,2025 Midwest Divisional,Jeff,Maize,52,MA,2003 Subaru WRX,Midiv,878.675
2025-07-05,2025 Midwest Divisional,Jason,Baney,126,MA,2016 Ford Fuggus WRS,Midiv,885.811
2025-07-05,2025 Midwest Divisional,Amanda,Maize,5,MA,2003 Subaru Impreza WRX,Midiv,1044.206
2025-07-05,2025 Midwest Divisional,Justin,Harris,13,MF,2000 Ford Focus ZX3,Midiv,852.859
2025-07-05,2025 Midwest Divisional,Donald,Carl,11,MF,1997 Dodge Neon,Midiv,853.393
2025-07-05,2025 Midwest Divisional,Charles,Carl,1,MF,1997 Dodge Neon,Midiv,941.860
2025-07-05,2025 Midwest Divisional,Michael,Stock,2,MR,1985 Toyota MR2,Midiv,910.715
