date,event_name,first_name,last_name,car_number,class,car_model,region,total
2025-02-22,2025 Southern Pacific Divisional,Nicholas,Ormiston,11,MA,2008 Subaru WRX STI,Southern Pacific,839.9
2025-02-22,2025 Southern Pacific Divisional,Fritz,Croy,44,MA,2007 Subaru Impreza,Southern Pacific,851.73
2025-02-22,2025 Southern Pacific Divisional,Sean,Spring,16,MA,1999 Subaru Legacy,Southern Pacific,851.07
2025-02-22,2025 Southern Pacific Divisional,Mike,Thomas,,MA,1997 Subaru Impreza,Southern Pacific,855.839
2025-02-22,2025 Southern Pacific Divisional,Wendel,Croy,66,MA,2004 Subaru Impreza WRX,Southern Pacific,885.14
2025-02-22,2025 Southern Pacific Divisional,Alan,McIntosh,86,MA,2004 Subaru WRX,Southern Pacific,985.19
2025-02-22,2025 Southern Pacific Divisional,Lee,Shadbolt,35,MA,2002 Subaru Impreza WRX,Southern Pacific,902.51
2025-02-22,2025 Southern Pacific Divisional,Jesse,Bopp,48,MA,2008 Subaru Impreza WRX,Southern Pacific,905.13
2025-02-22,2025 Southern Pacific Divisional,Brian,Gilbreath,22,MA,2001 Subaru WRSTI,Southern Pacific,905.53
2025-02-22,2025 Southern Pacific Divisional,Joseph,Bopp,,MA,2008 Subaru Impreza WRX,Southern Pacific,905.129
2025-02-22,2025 Southern Pacific Divisional,Mick,Henry,71,MA,2005 Subaru WRX STI,Southern Pacific,880.94
2025-02-22,2025 Southern Pacific Divisional,Grant,Steen,,MA,1990 Subaru Legacy,Southern Pacific,931.88
2025-02-22,2025 Southern Pacific Divisional,Dwight,Wood,,MF,2003 Nissan Sentra,Southern Pacific,860.029
2025-02-22,2025 Southern Pacific Divisional,Vincent,Dozeman,,MF,2006 Honda Civic SI,Southern Pacific,859.008
2025-02-22,2025 Southern Pacific Divisional,Peter,Dozeman,3,MF,2006 Honda Civic SI,Southern Pacific,873.479
2025-02-22,2025 Southern Pacific Divisional,Nikita,Latman,21,MF,2003 Ford Focus,Southern Pacific,887.21
2025-02-22,2025 Southern Pacific Divisional,Joseph,Maas,69,MF,2010 Honda Odyssey,Southern Pacific,922.55
2025-02-22,2025 Southern Pacific Divisional,Preston,Griggs,28,MF,2006 Ford ZX3,Southern Pacific,949.95
2025-02-22,2025 Southern Pacific Divisional,Allison,Sinosky,52,MF,1997 Honda Civic,Southern Pacific,976.24
2025-02-22,2025 Southern Pacific Divisional,Gonzalo,San Miguel,2,MR,1997 Mazda Miata,Southern Pacific,896.41
2025-02-22,2025 Southern Pacific Divisional,James,Bingham,,MR,1996 BMW 318ti,Southern Pacific,894.5
2025-02-22,2025 Southern Pacific Divisional,Philip,Mickleborough,7,MR,1987 Volvo 240,Southern Pacific,898.95
2025-02-22,2025 Southern Pacific Divisional,James,Veatch III,55,MR,1992 Lexus SC400,Southern Pacific,904.55
2025-02-22,2025 Southern Pacific Divisional,Brett,Billett,13,MR,1990 Mazda Miata,Southern Pacific,913.22
2025-02-22,2025 Southern Pacific Divisional,Caleb,Warren,,MR,1997 Mazda Miata,Southern Pacific,913.0
2025-02-22,2025 Southern Pacific Divisional,Nigel,Mott,62,MR,1996 BMW 318ti,Southern Pacific,915.5
2025-02-22,2025 Southern Pacific Divisional,Charles,Graham,,MR,1997 Lincoln Mark VIII,Southern Pacific,984.22
2025-02-22,2025 Southern Pacific Divisional,Tyler,Schrameck,73,PA,2022 Subaru WRX,Southern Pacific,906.08
2025-02-22,2025 Southern Pacific Divisional,Matt,Pinheiro,,PA,2022 Subaru WRX,Southern Pacific,921.8
2025-02-22,2025 Southern Pacific Divisional,Wallace,Wood,,SA,Infiniti G35x,Southern Pacific,896.8
2025-02-22,2025 Southern Pacific Divisional,D'John,Keith,77,SA,2001 Audi TT 225 QC,Southern Pacific,899.2
2025-02-22,2025 Southern Pacific Divisional,Paul,Robinson,84,SA,2006 Mazda Speed6,Southern Pacific,931.77
2025-02-22,2025 Southern Pacific Divisional,Joseph,Hong,54,SA,2020 Subaru WRX,Southern Pacific,962.32
2025-02-22,2025 Southern Pacific Divisional,Brandon,Ragsdale,10,SA,2024 Subaru WRX TR,Southern Pacific,974.91
2025-02-22,2025 Southern Pacific Divisional,Phillip,Dozeman,20,SF,2007 Honda Civic Si,Southern Pacific,921.67
2025-02-22,2025 Southern Pacific Divisional,Julian,Gil,,SF,1997 Honda Civic,Southern Pacific,953.33
2025-02-22,2025 Southern Pacific Divisional,Lynn,Dozeman,,SF,2007 Honda Civic Si,Southern Pacific,952.52
2025-02-22,2025 Southern Pacific Divisional,Jacob,Sobotka,70,SF,2000 Honda Civic,Southern Pacific,948.89
2025-02-22,2025 Southern Pacific Divisional,Ezra,Johnson,74,SF,2002 Mini Cooper s,Southern Pacific,966.08
2025-02-22,2025 Southern Pacific Divisional,Greg,Whitworth,67,SR,2002 Mercedes-Benz CLK 430,Southern Pacific,956.39
2025-02-22,2025 Southern Pacific Divisional,Justin,McBee,,SR,1964 Volvo 122S,Southern Pacific,968.14
2025-02-22,2025 Southern Pacific Divisional,Nicholas,Verdone,,SR,2013 Ford Mustang,Southern Pacific,976.57
2025-02-22,2025 Southern Pacific Divisional,Sam,Whitworth,,SR,2002 Mercedes-Benz CLK 430,Southern Pacific,987.9
